hanzi,pinyin,definition
她,tā,"she, her"
本,běn,"root, origin, source; basis"
前,qián,"in front, forward; preceding"
开,kāi,"open; initiate, begin, start"
但,dàn,"only; but, however, yet, still"
因,yīn,"cause, reason; by; because (of)"
只,zhǐ,"only, just, simply"
从,cóng,"from, by, since, whence, through"
想,xiǎng,"think, speculate, plan, consider"
实,shí,"real, true; honest, sincere"
日,rì,sun; day; daytime
军,jūn,"army, military; soldiers, troops"
者,zhě,that which; he who; those who
意,yì,"thought, idea, opinion; think"
无,wú,"negative, no, not; KangXi radical 71"
力,lì,"power, capability, influence"
它,tā,it; other
与,yǔ,"and; with; to; for; give, grant"
长,zhǎng,long; length; excel in; leader
把,bǎ,"hold, take; guard; regard as"
机,jī,desk; machine; moment
十,shí,"ten, tenth; complete; perfect"
民,mín,"people, subjects, citizens"
第,dì,"sequence, number; grade, degree"
公,gōng,"fair, equitable; public; duke"
此,cǐ,"this, these; in this case, then"
已,yǐ,already; finished; stop
工,gōng,"labor, work; worker, laborer"
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador"
情,qíng,"feeling, sentiment, emotion"
明,míng,"bright, light, brilliant; clear"
性,xìng,"nature, character, sex"
知,zhī,"know, perceive, comprehend"
全,quán,"maintain, keep whole or intact"
三,sān,three
又,yòu,"and, also, again, in addition"
关,guān,frontier pass; close; relation
点,diǎn,"dot, speck, spot; point, degree"
正,zhèng,"right, proper, correct"
业,yè,"profession, business; GB radical 111"
外,wài,"out, outside, external; foreign"
将,jiāng,"will, going to, future; general"
两,liǎng,"two, both, pair, couple; ounce"
高,gāo,"high, tall; lofty, elevated"
间,jiān,"midpoint, space; place, locality"
由,yóu,"cause, reason; from"
问,wèn,"ask about, inquire after"
很,hěn,"very, quite, much"
最,zuì,"most, extremely, exceedingly"
重,zhòng,"heavy, weighty; double"
并,bìng,
物,wù,"thing, substance, creature"
手,shǒu,hand
应,yīng,"should, ought to, must"
战,zhàn,"war, fighting, battle"
向,xiàng,"toward, direction, trend"
头,tóu,"head; top; chief, first; boss"
文,wén,"literature, culture, writing"
体,tǐ,"body; group, class, body, unit; inferior"
政,zhèng,"government, political affairs"
美,měi,"beautiful, pretty; pleasing"
相,xiāng,"mutual, reciprocal, each other"
见,jiàn,"see, observe, behold; perceive"
被,bèi,
利,lì,"gains, advantage, profit, merit"
什,shén,"file of ten soldiers; mixed, miscellaneous"
二,èr,two; twice
等,děng,
产,chǎn,"give birth, bring forth, produce"
或,huò,"or, either, else; perhaps, maybe"
新,xīn,"new, recent, fresh, modern"
己,jǐ,"self, oneself; personal, private; 6th heavenly stem"
制,zhì,system; establish; overpower
身,shēn,"body; trunk, hull; rad. no. 158"
果,guǒ,fruit; result
加,jiā,"add to, increase, augment"
西,xī,"west(ern); westward, occident"
斯,sī,"this, thus, such; to lop off; emphatic particle"
月,yuè,moon; month; KangXi radical 74
话,huà,"speech, talk, language; dialect"
合,hé,"combine, unite, join; gather"
回,huí,"return, turn around; a time"
特,tè,"special, unique, distinguished"
代,dài,"replace, replacement (of person or generation); era, generation"
内,nèi,inside
信,xìn,"trust, believe; letter"
表,biǎo,"show, express, manifest, display"
化,huà,"change, convert, reform; -ize"
老,lǎo,"old, aged; experienced"
给,gěi,"give; by, for"
世,shì,generation; world; era
位,wèi,"throne; position, post; rank, status; seat"
次,cì,"order, sequence; next"
度,dù,"degree, system; manner; to consider"
门,mén,"gate, door, entrance, opening"
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow"
常,cháng,"common, normal, frequent, regular"
先,xiān,"first, former, previous"
海,hǎi,"sea, ocean; maritime"
通,tōng,"pass through, common, communicate"
教,jiào,"teach, class"
儿,ér,"son, child; KangXi radical 10"
原,yuán,"source, origin, beginning"
东,dōng,"east, eastern, eastward"
声,shēng,"sound, voice, noise; tone; music"
提,tí,hold in hand; lift in hand
立,lì,"stand; let stand; establish, set"
及,jí,extend; reach; come up to; and
比,bǐ,"to compare, liken; comparison; than"
员,yuán,"member; personnel, staff member"
解,jiě,"loosen, unfasten, untie; explain"
水,shuǐ,"water, liquid, lotion, juice"
名,míng,"name, rank, title, position"
真,zhēn,"real, actual, true, genuine"
论,lùn,debate; discuss; discourse
处,chù,"place, locale; department"
走,zǒu,"walk, go on foot; run; leave"
义,yì,"right conduct, righteousness"
各,gè,"each, individually, every, all"
入,rù,"enter, come in(to), join"
几,jǐ,small table
口,kǒu,"mouth; open end; entrance, gate"
认,rèn,"recognize, know, understand"
条,tiáo,"clause, condition; string, stripe"
平,píng,"flat, level, even; peaceful"
系,xì,"system; line, link, connection"
气,qì,"steam, vapor; KangXi radical 84"
题,tí,"forehead; title, headline; theme"
活,huó,"live, exist, survive; lively"
尔,ěr,"you; that, those; final particle"
更,gèng,"more, still further, much more"
别,bié,"separate, other; do not"
打,dǎ,"strike, hit, beat; fight; attack"
女,nǚ,"woman, girl; feminine; rad. 38"
变,biàn,"change, transform, alter; rebel"
四,sì,four
神,shén,"spirit, god, supernatural being"
总,zǒng,"collect; overall, altogether"
何,hé,"what, why, where, which, how"
电,diàn,electricity; electric; lightning
数,shù,"number; several, count; fate"
安,ān,"peaceful, tranquil, quiet"
少,shǎo,"few, less, inadequate"
报,bào,"report, tell, announce"
才,cái,"talent, ability; just, only"
结,jié,"knot, tie; join, connect"
反,fǎn,"reverse, opposite, contrary, anti"
受,shòu,"receive, accept, get; bear, stand"
目,mù,"eye; look, see; division, topic"
太,tài,"very, too, much; big; extreme"
量,liàng,"measure, quantity, capacity"
再,zài,"again, twice, re-"
感,gǎn,"feel, perceive, emotion"
建,jiàn,"build, establish, erect, found"
务,wù,"affairs, business; must, should"
做,zuò,"work, make; act"
接,jiē,receive; continue; catch; connect
必,bì,"surely, most certainly; must"
场,chǎng,"open space, field, market"
件,jiàn,numerary adjunct for article; matter
计,jì,"plan, plot; strategem; scheme"
管,guǎn,"pipe, tube, duct; woodwind music"
期,qī,period of time; date; time limit
市,shì,"market, fair; city, town; trade"
直,zhí,"straight, erect, vertical"
德,dé,"ethics, morality, virtue"
资,zī,property; wealth; capital
命,mìng,"life; destiny, fate, luck; an order, instruction"
山,shān,"mountain, hill, peak"
金,jīn,gold; metals in general; money
指,zhǐ,"finger, toe; point, indicate"
克,kè,gram; overcome; transliteration
许,xǔ,"allow, permit; promise; betroth"
统,tǒng,"govern, command, control; unite"
区,qū,"area, district, region, ward"
保,bǎo,"protect, safeguard, defend, care"
至,zhì,"reach, arrive; extremely, very"
队,duì,"team, group; army unit"
形,xíng,"form, shape, appearance"
社,shè,"god of the soil and altars to him; group of families; company, society"
便,biàn,"convenience, ease; expedient"
空,kōng,"empty, hollow, bare, deserted"
决,jué,"decide, determine, judge"
治,zhì,"govern, regulate, administer"
展,zhǎn,"open, unfold; stretch, extend"
马,mǎ,horse; surname; KangXi radical 187
科,kē,"section, department, science"
司,sī,"take charge of, control, manage; officer"
五,wǔ,five; surname
基,jī,"foundation, base"
眼,yǎn,"eye; eyelet, hole, opening"
书,shū,"book, letter, document; writings"
非,fēi,"not, negative, non-; oppose"
则,zé,"rule, law, regulation; grades"
听,tīng,"hear; understand; obey, comply"
白,bái,"white; pure, unblemished; bright"
却,què,"still, but; decline; retreat"
界,jiè,"boundary, limit; domain; society; the world"
达,dá,"arrive at, reach; intelligent; smooth, slippery"
光,guāng,"light, brilliant, shine; only"
放,fàng,"put, release, free, liberate"
强,qiáng,"strong, powerful, energetic"
即,jí,"promptly, quickly, immediately"
像,xiàng,"a picture, image, figure; to resemble"
难,nán,"difficult, arduous, hard; unable"
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)"
权,quán,"power, right, authority"
思,sī,"think, consider, ponder; final particle"
王,wáng,"king, ruler; royal; surname"
象,xiàng,"elephant; ivory; figure, image"
完,wán,"complete, finish, settle; whole"
设,shè,build; establish; display
式,shì,"style, system, formula, rule"
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty"
路,lù,"road, path, street; journey"
记,jì,"record; keep in mind, remember"
南,nán,south; southern part; southward
品,pǐn,"article, product, commodity"
住,zhù,"reside, live at, dwell, lodge; stop"
告,gào,"tell, announce, inform; accuse"
类,lèi,"class, group, kind, category"
求,qiú,"seek; demand, request; beseech"
据,jù,"to occupy, take possession of; a base, position"
程,chéng,"journey, trip; schedule, agenda"
北,běi,north; northern; northward
边,biān,"edge, margin, side, border"
死,sǐ,die; dead; death
张,zhāng,"stretch, extend, expand; sheet"
该,gāi,"should, ought to, need to"
交,jiāo,"mix; intersect; exchange, communicate; deliver"
规,guī,"rules, regulations, customs, law"
万,wàn,ten thousand; innumerable
取,qǔ,"take, receive, obtain; select"
拉,lā,"pull, drag; seize, hold; lengthen"
格,gé,"pattern, standard, form; style"
望,wàng,"to look at, look forward; to hope, expect"
觉,jué,to wake up from sleep; conscious
术,shù,"art, skill, special feat; method, technique"
领,lǐng,"neck; collar; lead, guide"
共,gòng,"together with, all, total; to share"
确,què,"sure, certain; real, true"
传,chuán,"summon; propagate, transmit"
师,shī,"teacher, master, specialist"
观,guān,"see, observe, view; appearance"
清,qīng,"clear, pure, clean; peaceful"
今,jīn,"now, today, modern era"
切,qiè,"cut, mince, slice, carve"
院,yuàn,"courtyard, yard, court; school"
让,ràng,"allow, permit, yield, concede"
识,shí,"recognize, understand, know"
候,hòu,wait; expect; visit; greet
带,dài,"belt, girdle, band, strap, zone"
导,dǎo,"direct, guide, lead, conduct"
争,zhēng,"dispute, fight, contend, strive"
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport"
笑,xiào,"smile, laugh, giggle; snicker"
飞,fēi,fly; go quickly; dart; high
风,fēng,"wind; air; manners, atmosphere"
步,bù,"step, pace; walk, stroll"
改,gǎi,"change, alter; improve, remodel"
收,shōu,"gather together, collect; harvest"
根,gēn,"root, base(d on); foundation"
干,gàn,"oppose, offend; invade; dried"
造,zào,"construct, build, make, begin; prepare"
言,yán,"words, speech; speak, say"
联,lián,"connect, join; associate, ally"
持,chí,"sustain, support; hold, grasp"
组,zǔ,"class; section, department"
每,měi,"every, each"
济,jì,"help, aid, relieve; ferry, cross"
车,chē,"cart, vehicle; carry in cart"
亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
极,jí,"extreme, utmost, furthest, final"
林,lín,"forest, grove; surname"
服,fú,"clothes; wear, dress"
快,kuài,"rapid, quick, speedy, fast; soon"
办,bàn,"manage, do, handle; deal with"
议,yì,"consult, talk over, discuss"
往,wǎng,"go, depart; past, formerly"
元,yuán,first; dollar; origin; head
英,yīng,"petal, flower, leaf; brave, a hero; England, English"
士,shì,"scholar, gentleman; soldier"
证,zhèng,"prove, confirm, verify; proof"
近,jìn,"near, close; approach; intimate"
失,shī,"lose; make mistake, neglect"
转,zhuǎn,"shift, move, turn"
夫,fū,"man, male adult, husband; those"
令,lìng,
准,zhǔn,"approve, allow, permit; in accord"
布,bù,"cotton cloth, textiles, linen"
始,shǐ,"begin, start; then, only then"
怎,zěn,what? why? how?
呢,ne,interrogative or emphatic final; (Cant.) this
存,cún,"exist, live, be; survive; remain"
未,wèi,not yet; 8th terrestrial branch
远,yuǎn,"distant, remote, far; profound"
叫,jiào,"cry, shout; hail, greet, call"
台,tái,platform; unit; term of address
单,dān,"single, individual, only; lone"
影,yǐng,"shadow; image, reflection; photograph"
具,jù,"tool, implement; draw up, write"
罗,luō,net for catching birds; gauze
字,zì,"letter, character, word"
爱,ài,"love, be fond of, like"
击,jī,"strike, hit, beat; attack, fight"
流,liú,"flow, circulate, drift; class"
备,bèi,"prepare, ready, perfect"
兵,bīng,"soldier, troops"
连,lián,"join, connect; continuous; even"
调,diào,"transfer, move, change; tune"
深,shēn,"deep; depth; far; very, extreme"
商,shāng,"commerce, business, trade"
算,suàn,"count, calculate, figure; plan"
质,zhì,"matter, material, substance"
团,tuán,"sphere, ball, circle; mass, lump"
集,jí,"assemble, collect together"
百,bǎi,"one hundred; numerous, many"
需,xū,"need, require, must"
价,jià,"price, value"
花,huā,flower; blossoms
党,dǎng,"political party, gang, faction"
华,huá,flowery; illustrious; Chinese
城,chéng,"castle; city, town; municipality"
石,shí,"stone, rock, mineral; rad. 112"
级,jí,"level, rank, class; grade"
整,zhěng,"orderly, neat, tidy; whole"
府,fǔ,prefecture; prefect; government
离,lí,rare beast; strange; elegant
况,kuàng,"condition, situation; furthermore"
亚,yà,Asia; second
请,qǐng,"ask, request; invite; please"
技,jì,"skill, ability, talent, ingenuity"
际,jì,"border, boundary, juncture"
约,yuē,"treaty, agreement, covenant"
示,shì,"show, manifest; demonstrate"
复,fù,return; repeat; repeatedly
病,bìng,"illness, sickness, disease"
息,xī,"rest, put stop to, end, cease"
究,jiū,"examine, investigate"
线,xiàn,"line, thread, wire; clue"
似,shì,"resemble, similar to; as if, seem"
官,guān,"official, public servant"
火,huǒ,"fire, flame; burn; anger, rage"
断,duàn,"sever, cut off; interrupt"
精,jīng,essence; semen; spirit
满,mǎn,"fill; full, satisfied"
支,zhī,"disperse, pay; support; branch"
视,shì,"look at, inspect, observe, see"
消,xiāo,"vanish, die out; melt away"
越,yuè,"exceed, go beyond; the more ..."
器,qì,"receptacle, vessel; instrument"
容,róng,"looks, appearance; figure, form"
照,zhào,"shine, illumine, reflect"
须,xū,"must, have to, necessary"
九,jiǔ,nine
增,zēng,"increase, add to, augment"
研,yán,"grind, rub; study, research"
写,xiě,"write; draw, sketch; compose"
称,chēng,"call; name, brand; address; say"
企,qǐ,plan a project; stand on tiptoe
八,bā,"eight; all around, all sides"
功,gōng,"achievement, merit, good result"
吗,ma,final interrogative particle
包,bāo,"wrap, pack, bundle; package"
片,piàn,"slice, splinter, strip; rad. 91"
史,shǐ,"history, chronicle, annals"
委,wěi,"appoint, send, commission"
乎,hū,interrogative or exclamatory final particle
查,chá,"investigate, examine, seek into"
轻,qīng,"light; easy, simple; gentle"
易,yì,change; easy
早,zǎo,early; soon; morning
曾,céng,already; sign of past
除,chú,"eliminate, remove, except"
农,nóng,"agriculture, farming; farmer"
找,zhǎo,"search, seek, look for; find"
装,zhuāng,"dress, clothes, attire; fill"
广,guǎng,"wide, extensive, broad; rad. 53"
显,xiǎn,"manifest, display; evident, clear"
吧,ba,emphatic final particle
阿,ā,
李,lǐ,plum; judge; surname
标,biāo,"mark, symbol, label, sign; stand the bole of a tree"
谈,tán,talk; conversation; surname
吃,chī,"eat; drink; suffer, endure, bear"
图,tú,"diagram; chart, map, picture"
念,niàn,"think of, recall, study"
六,liù,number six
引,yǐn,"to pull, draw out, attract; to stretch"
历,lì,history; calendar
首,shǒu,"head; first; leader, chief; a poem"
医,yī,"cure, heal; doctor, medical"
局,jú,"bureau, office; circumstance"
突,tū,"suddenly, abruptly, unexpectedly"
专,zhuān,"monopolize, take sole possession"
费,fèi,"expenses, expenditures, fee"
号,hào,"mark, sign; symbol; number"
尽,jǐn,"exhaust, use up; deplete"
另,lìng,"another, separate, other"
周,zhōu,Zhou dynasty; circumference
较,jiào,"compare; comparatively, more"
注,zhù,"concentrate, focus, direct"
语,yǔ,"language, words; saying, expression"
仅,jǐn,"only, merely, solely, just"
考,kǎo,"examine, test; investigate"
落,luò,"fall, drop; net income, surplus"
青,qīng,"blue, green, black; young"
随,suí,"follow, listen to, submit to"
选,xuǎn,"choose, select; elect; election"
列,liè,"a line; to arrange in order, classify"
武,wǔ,"military; martial, warlike"
红,hóng,"red, vermillion; blush, flush"
响,xiǎng,"make sound, make noise; sound"
虽,suī,"although, even if"
推,tuī,"push, expel; push forward"
势,shì,"power, force; tendency"
参,cān,"take part in, intervene; ginseng"
希,xī,"rare; hope, expect, strive for"
古,gǔ,"old, classic, ancient"
众,zhòng,"multitude, crowd; masses, public"
构,gòu,"frame, building, structure"
房,fáng,"house, building; room"
半,bàn,half
节,jié,"knot, node, joint; section"
土,tǔ,"soil, earth; items made of earth"
投,tóu,"throw, cast, fling, pitch; jump"
某,mǒu,certain thing or person
案,àn,"table, bench; legal case"
黑,hēi,"black; dark; evil, sinister"
维,wéi,"maintain, preserve, safeguard"
革,gé,"leather, animal hides; rad. 177"
划,huà,to row or paddle boat; to scratch
敌,dí,"enemy, foe, rival; resist"
致,zhì,"send, deliver, present; cause"
陈,chén,"exhibit, display; plead; a surname"
律,lǜ,"statute, principle, regulation"
足,zú,"foot; attain, satisfy, enough"
态,tài,"manner, bearing, attitude"
护,hù,"protect, guard, defend, shelter"
七,qī,seven
兴,xìng,"thrive, prosper, flourish"
派,pài,"school of thought, sect, branch"
孩,hái,"baby, child; children"
验,yàn,"test, examine, inspect; verify"
责,zé,
营,yíng,"encampment, barracks; manage"
星,xīng,"a star, planet; any point of light"
够,gòu,"enough, adequate"
章,zhāng,"composition; chapter, section"
音,yīn,"sound, tone, pitch, pronunciation"
跟,gēn,"heel; to follow, accompany; with"
志,zhì,"purpose, will, determination; annals"
底,dǐ,"bottom, underneath, underside"
站,zhàn,"stand up; a stand, station"
严,yán,"strict, rigorous, rigid; stern"
巴,bā,"greatly desire, anxiously hope"
例,lì,"precedent, example; regulation"
防,fáng,defend; prevent; embankment
族,zú,"a family clan, ethnic group, tribe"
供,gōng,"supply, provide for; offer in worship"
效,xiào,"result, effect; effectiveness"
续,xù,"continue, carry on; succeed"
施,shī,"grant, bestow; give; act; name"
留,liú,"stop, halt; stay, detain, keep"
讲,jiǎng,explain; discuss; talk
型,xíng,"pattern, model, type; law; mold"
料,liào,"consider, conjecture; materials, ingredients"
终,zhōng,"end; finally, in the end"
答,dá,"answer, reply; return; assent to"
紧,jǐn,"tense, tight, taut; firm, secure"
黄,huáng,yellow; surname
绝,jué,"to cut, sever, break off, terminate"
奇,qí,"strange, unusual, uncanny, occult"
察,chá,"examine, investigate; notice"
母,mǔ,mother; female elders; female
京,jīng,capital city
段,duàn,"section, piece, division"
依,yī,"rely on, be set in; consent, obey a wish"
批,pī,"comment, criticize; wholesale"
群,qún,"(same as 羣) group, crowd, multitude, mob"
项,xiàng,"neck, nape of neck; sum; funds"
故,gù,"ancient, old; reason, because"
按,àn,"put hand on, press down with hand"
河,hé,river; stream; yellow river
米,mǐ,hulled or husked uncooked rice
围,wéi,"surround, encircle, corral"
江,jiāng,large river; yangzi; surname
织,zhī,"weave, knit; organize, unite"
害,hài,"injure, harm; destroy, kill"
斗,dòu,Chinese peck; liquid measure
双,shuāng,"set of two, pair, couple; both"
境,jìng,"boundary, frontier; area, region"
客,kè,"guest, traveller; customer"
纪,jì,"record, annal, historical account"
采,cǎi,"collect, gather; pick, pluck"
举,jǔ,"raise, lift up; recommend"
杀,shā,"kill, slaughter, murder; hurt"
攻,gōng,"attack, assault; criticize"
父,fù,father; KangXi radical 88
苏,sū,
密,mì,"dense, thick, close; intimate"
低,dī,"low; to lower, hang, bend, bow"
朝,cháo,dynasty; morning
友,yǒu,"friend, companion; fraternity"
诉,sù,accuse; sue; inform; narrate
止,zhǐ,"stop, halt, desist; detain"
细,xì,"fine, tiny; slender, thin"
愿,yuàn,"sincere, honest, virtuous"
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
值,zhí,price
仍,réng,"yet, still, as ever; again; keep -ing, continuing"
男,nán,"male, man; son; baron; surname"
钱,qián,"money, currency, coins"
破,pò,"break, ruin, destroy; rout"
网,wǎng,net; network; KangXi radical 122
热,rè,hot; heat; fever; restless; zeal
助,zhù,"help, aid, assist"
倒,dào,fall over; lie down; take turns
育,yù,"produce, give birth to; educate"
属,shǔ,"class, category, type; belong to"
坐,zuò,"sit; seat; ride, travel by"
帝,dì,"supreme ruler, emperor; god"
限,xiàn,"boundary, limit, line"
船,chuán,"ship, boat, vessel"
脸,liǎn,face; cheek; reputation
职,zhí,"duty, profession; office, post"
速,sù,"quick, prompt, speedy"
刻,kè,"carve, engrave; quarter hour"
乐,lè,"happy, glad; enjoyable; music"
否,fǒu,"not, no, negative; final particle"
刚,gāng,"hard, tough, rigid, strong"
威,wēi,"pomp, power; powerful; dominate"
毛,máo,"hair, fur, feathers; coarse"
状,zhuàng,form; appearance; shape; official
率,lǜ,to lead; ratio; rate; limit
甚,shén,great extent; considerably
独,dú,"alone, single, solitary, only"
球,qiú,"ball, sphere, globe; round"
般,bān,"sort, manner, kind, category"
普,pǔ,"universal, general, widespread"
怕,pà,"to fear, be afraid of; apprehensive"
弹,dàn,"pellet, bullet, shot, shell"
校,xiào,school; military field officer
苦,kǔ,"bitter; hardship, suffering"
创,chuàng,"establish, create; knife cut"
假,jiǎ,"falsehood, deception; vacation"
久,jiǔ,"long time (ago); time passage, grow late"
错,cuò,"error, blunder, mistake; wrong"
承,chéng,"inherit, receive; succeed"
印,yìn,"print, seal, stamp, chop, mark"
晚,wǎn,"night, evening; late"
兰,lán,"orchid; elegant, graceful"
试,shì,"test, try, experiment"
股,gǔ,"thighs, haunches, rump; share"
拿,ná,"take, hold, grasp; bring; with"
脑,nǎo,brain
预,yù,"prepare, arrange; in advance"
谁,shuí,who? whom? whose? anyone?
益,yì,"profit, benefit; advantage"
阳,yáng,
若,ruò,"if, supposing, assuming; similar"
哪,nǎ,which? where? how?
微,wēi,"small, prefix micro-, trifling"
尼,ní,Buddhist nun; transliteration
继,jì,"continue, maintain, carry on"
送,sòng,"see off, send off; dispatch, give"
急,jí,"quick, quickly; urgent, pressing"
血,xuè,blood; radical number 143
惊,jīng,"frighten, surprise, startle"
伤,shāng,"wound, injury; fall ill from"
素,sù,white (silk); plain; vegetarian; formerly; normally
药,yào,leaf of Dahurian angelica plant; medicine
适,shì,"go, reach; appropriate, suitable"
波,bō,"waves, breakers; undulations"
夜,yè,"night, dark; in night; by night"
省,shěng,"province; save, economize"
初,chū,"beginning, initial, primary"
喜,xǐ,"like, love, enjoy; joyful thing"
卫,wèi,"guard, protect, defend"
源,yuán,"spring; source, head; surname"
食,shí,eat; meal; food; KangXi radical number 184
险,xiǎn,"narrow pass, strategic point"
待,dài,"treat, entertain, receive; wait"
述,shù,"narrate, state, express"
陆,lù,"land, continental; army"
习,xí,practice; flapping wings
置,zhì,"place, lay out; set aside"
居,jū,"live, dwell, reside, sit"
劳,láo,"labor, toil, do manual work"
财,cái,"wealth, valuables, riches"
环,huán,jade ring or bracelet; ring
排,pái,"row, rank, line"
福,fú,"happiness, good fortune, blessing"
纳,nà,"admit, take, receive, accept"
欢,huān,"happy, pleased, glad; joy; enjoy"
雷,léi,thunder
警,jǐng,"guard, watch; alert, alarm"
获,huò,"obtain, get, receive; seize"
模,mó,"model, standard, pattern; copy"
充,chōng,"fill, be full, supply"
负,fù,"load, burden; carry, bear"
云,yún,"say, speak; clouds"
停,tíng,"stop, suspend, delay; suitable"
木,mù,"tree; wood, lumber; wooden"
游,yóu,"to swim; float, drift; wander, roam"
龙,lóng,dragon; symbolic of emperor
树,shù,"tree; plant; set up, establish"
疑,yí,"doubt, question, suspect"
层,céng,"storey, layer, floor, stratum"
冷,lěng,"cold, cool; lonely"
洲,zhōu,continent; island; islet
冲,chōng,soar; pour boiling water over
射,shè,"shoot, eject, issue forth, emit"
略,lüè,"approximately, roughly; outline"
范,fàn,surname; bee-like insect
竟,jìng,"finally, after all, at last"
句,jù,sentence
室,shì,"room, home, house, chamber"
异,yì,"different, unusual, strange"
激,jī,"arouse, excite, incite; quickly"
汉,hàn,Chinese people; Chinese language
村,cūn,"village, hamlet; uncouth, vulgar"
哈,hā,sound of laughter
策,cè,"scheme, plan; to whip; urge"
演,yǎn,"perform, put on; exercise"
简,jiǎn,"simple, terse, succinct, a letter"
卡,kǎ,"card, punch card; calorie"
罪,zuì,"crime, sin, vice; evil; hardship"
判,pàn,judge; discriminate; conclude
担,dān,"carry, bear, undertake"
州,zhōu,"administrative division, state"
静,jìng,"quiet, still, motionless; gentle"
退,tuì,"step back, retreat, withdraw"
既,jì,already; de facto; since; then
衣,yī,"clothes, clothing; cover, skin"
您,nín,
宗,zōng,"lineage, ancestry; ancestor, clan"
积,jī,"accumulate, store up, amass"
余,yú,"I, my, me; surname; surplus"
痛,tòng,"pain, ache; sorry, sad; bitter"
检,jiǎn,check; examine
差,chà,"to differ; different, wrong; nearly, almost; an officer"
富,fù,"abundant, ample; rich, wealthy"
灵,líng,"spirit, soul; spiritual world"
